------ITER 14------
Executed 0 eps
Self Play (1/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 1 eps
Self Play (2/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 2 eps
Self Play (3/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 3 eps
Self Play (4/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 4 eps
Self Play (5/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 5 eps
Self Play (6/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 6 eps
Self Play (7/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 7 eps
Self Play (8/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 8 eps
Self Play (9/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 9 eps
Self Play (10/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
EPOCH ::: 1
Training Net (1/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:00 | Loss_pi: 14.5068 | Loss_v: 2.000
Training Net (2/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 12.0893 | Loss_v: 1.875
Training Net (3/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.6995 | Loss_v: 1.875
Training Net (4/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.5341 | Loss_v: 1.930
Training Net (5/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.0371 | Loss_v: 1.950
Training Net (6/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.5621 | Loss_v: 1.938
Training Net (7/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.7127 | Loss_v: 1.888
Training Net (8/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.5834 | Loss_v: 1.879
Training Net (9/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0373 | Loss_v: 1.896
Training Net (10/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.8653 | Loss_v: 1.897
Training Net (11/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5031 | Loss_v: 1.886
Training Net (12/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.6271 | Loss_v: 1.862
Training Net (13/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.6159 | Loss_v: 1.861
Training Net (14/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4567 | Loss_v: 1.877
Training Net (15/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5698 | Loss_v: 1.896
Training Net (16/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.8769 | Loss_v: 1.906
Training Net (17/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1433 | Loss_v: 1.915
Training Net (18/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.3792 | Loss_v: 1.910
Training Net (19/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.5871 | Loss_v: 1.921
Training Net (20/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1856 | Loss_v: 1.917
Training Net (21/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1830 | Loss_v: 1.917
Training Net (22/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3516 | Loss_v: 1.920
Training Net (23/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.6153 | Loss_v: 1.921
Training Net (24/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.8503 | Loss_v: 1.928
Training Net (25/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.1344 | Loss_v: 1.924
Training Net (26/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.0413 | Loss_v: 1.930
Training Net (27/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.8371 | Loss_v: 1.929
Training Net (28/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.9221 | Loss_v: 1.942
Training Net (29/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.9153 | Loss_v: 1.946
