------ITER 11------
Executed 0 eps
Self Play (1/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 1 eps
Self Play (2/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 2 eps
Self Play (3/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 3 eps
Self Play (4/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 4 eps
Self Play (5/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 5 eps
Self Play (6/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 6 eps
Self Play (7/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 7 eps
Self Play (8/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 8 eps
Self Play (9/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 9 eps
Self Play (10/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
EPOCH ::: 1
Training Net (1/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:00 | Loss_pi: 17.8956 | Loss_v: 1.906
Training Net (2/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.5114 | Loss_v: 2.031
Training Net (3/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1986 | Loss_v: 2.000
Training Net (4/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0381 | Loss_v: 1.992
Training Net (5/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.9217 | Loss_v: 1.994
Training Net (6/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.7142 | Loss_v: 1.964
Training Net (7/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.3314 | Loss_v: 1.969
Training Net (8/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.3141 | Loss_v: 2.035
Training Net (9/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.2308 | Loss_v: 2.042
Training Net (10/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0543 | Loss_v: 2.066
Training Net (11/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0198 | Loss_v: 2.040
Training Net (12/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.9668 | Loss_v: 2.034
Training Net (13/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.2381 | Loss_v: 2.053
Training Net (14/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0876 | Loss_v: 2.047
Training Net (15/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.9232 | Loss_v: 2.033
Training Net (16/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.1971 | Loss_v: 2.057
Training Net (17/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4099 | Loss_v: 2.059
Training Net (18/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5582 | Loss_v: 2.057
Training Net (19/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.7751 | Loss_v: 2.076
Training Net (20/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1560 | Loss_v: 2.069
Training Net (21/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.6973 | Loss_v: 2.076
Training Net (22/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.8168 | Loss_v: 2.074
Training Net (23/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.8201 | Loss_v: 2.064
Training Net (24/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2383 | Loss_v: 2.057
Training Net (25/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3767 | Loss_v: 2.046
Training Net (26/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3112 | Loss_v: 2.047
Training Net (27/36) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.5061 | Loss_v: 2.044
