------ITER 18------
Executed 0 eps
Self Play (1/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 1 eps
Self Play (2/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 2 eps
Self Play (3/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 3 eps
Self Play (4/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 4 eps
Self Play (5/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 5 eps
Self Play (6/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 6 eps
Self Play (7/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 7 eps
Self Play (8/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 8 eps
Self Play (9/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 9 eps
Self Play (10/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
EPOCH ::: 1
Training Net (1/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:00 | Loss_pi: 14.7168 | Loss_v: 2.031
Training Net (2/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.5396 | Loss_v: 1.984
Training Net (3/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.7356 | Loss_v: 2.010
Training Net (4/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.3041 | Loss_v: 1.953
Training Net (5/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.6885 | Loss_v: 1.944
Training Net (6/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4490 | Loss_v: 1.906
Training Net (7/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5710 | Loss_v: 1.888
Training Net (8/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.7431 | Loss_v: 1.898
Training Net (9/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.7281 | Loss_v: 1.892
Training Net (10/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4967 | Loss_v: 1.903
Training Net (11/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1276 | Loss_v: 1.926
Training Net (12/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.3134 | Loss_v: 1.951
Training Net (13/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.3879 | Loss_v: 1.964
Training Net (14/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.0476 | Loss_v: 1.967
Training Net (15/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1101 | Loss_v: 1.950
Training Net (16/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.9861 | Loss_v: 1.969
Training Net (17/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5993 | Loss_v: 1.976
Training Net (18/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.7889 | Loss_v: 1.964
Training Net (19/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.8174 | Loss_v: 1.969
Training Net (20/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.6024 | Loss_v: 1.970
Training Net (21/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4633 | Loss_v: 1.967
